date-time,name,code,brand,collection,serial,full_attrs,notes,A-2deg-L,A-2deg-a,A-2deg-b,A-2deg-r,A-2deg-g,A-2deg-b,A-2deg-hex,A-10deg-L,A-10deg-a,A-10deg-b,A-10deg-r,A-10deg-g,A-10deg-b,A-10deg-hex,D50-2deg-L,D50-2deg-a,D50-2deg-b,D50-2deg-r,D50-2deg-g,D50-2deg-b,D50-2deg-hex,D50-10deg-L,D50-10deg-a,D50-10deg-b,D50-10deg-r,D50-10deg-g,D50-10deg-b,D50-10deg-hex,D65-2deg-L,D65-2deg-a,D65-2deg-b,D65-2deg-r,D65-2deg-g,D65-2deg-b,D65-2deg-hex,D65-10deg-L,D65-10deg-a,D65-10deg-b,D65-10deg-r,D65-10deg-g,D65-10deg-b,D65-10deg-hex,F2-2deg-L,F2-2deg-a,F2-2deg-b,F2-2deg-r,F2-2deg-g,F2-2deg-b,F2-2deg-hex,F2-10deg-L,F2-10deg-a,F2-10deg-b,F2-10deg-r,F2-10deg-g,F2-10deg-b,F2-10deg-hex,spectrum-400nm,spectrum-410nm,spectrum-420nm,spectrum-430nm,spectrum-440nm,spectrum-450nm,spectrum-460nm,spectrum-470nm,spectrum-480nm,spectrum-490nm,spectrum-500nm,spectrum-510nm,spectrum-520nm,spectrum-530nm,spectrum-540nm,spectrum-550nm,spectrum-560nm,spectrum-570nm,spectrum-580nm,spectrum-590nm,spectrum-600nm,spectrum-610nm,spectrum-620nm,spectrum-630nm,spectrum-640nm,spectrum-650nm,spectrum-660nm,spectrum-670nm,spectrum-680nm,spectrum-690nm,spectrum-700nm
2020-10-29T01:47:12.569Z,Scanned Color,,,,,Scanned Color; #333232,,21.0869,0.3580,0.0493,51.2,50.4,50.6,#333232,21.0905,0.3382,0.0661,52.3,50.1,50.3,#343232,21.0529,0.3667,0.0337,51.2,50.4,50.5,#333232,21.0601,0.3068,0.0533,51.5,50.4,50.1,#333232,21.0455,0.3177,0.0648,51.1,50.4,50.5,#333232,21.0540,0.2495,0.0826,51.0,50.5,50.0,#333232,21.0680,0.2828,0.2804,51.2,50.5,50.2,#333232,21.0708,0.2430,0.3052,54.1,49.4,51.0,#363133,0.03169795498251915,0.03168196603655815,0.03135257586836815,0.03075321763753891,0.0318177230656147,0.03240170329809189,0.03324893116950989,0.03402450680732727,0.03317643702030182,0.033467166125774384,0.032626502215862274,0.031924016773700714,0.03185276687145233,0.032241955399513245,0.03223391994833946,0.03168289735913277,0.03260362148284912,0.03263022005558014,0.03305089473724365,0.033226378262043,0.03326977789402008,0.03281804546713829,0.033126458525657654,0.03354371339082718,0.03315601497888565,0.033483680337667465,0.03258070349693298,0.03198317438364029,0.03198307752609253,0.03246720880270004,0.032674551010131836
2020-10-29T01:47:10.135Z,Scanned Color,,,,,Scanned Color; #535555,,36.1319,-0.8525,-0.5090,83.3,85.5,85.7,#535555,36.1408,-0.7218,-0.5256,85.2,84.9,85.3,#555455,36.1936,-0.6747,-0.4058,83.8,85.5,85.7,#535555,36.2070,-0.5854,-0.4219,84.5,85.3,85.2,#545555,36.2113,-0.5847,-0.3598,83.9,85.5,85.7,#535555,36.2262,-0.5055,-0.3795,84.1,85.5,85.1,#545555,36.1960,-0.2674,-0.3682,84.5,85.3,85.7,#545555,36.2040,-0.2296,-0.3672,89.3,83.6,87.0,#595356,0.08750119805335999,0.09039705246686935,0.09063734114170074,0.09119800478219986,0.09258202463388443,0.09358298778533936,0.0933130532503128,0.09226326644420624,0.09204105287790298,0.09165733307600021,0.09184400737285614,0.09267868101596832,0.09235914051532745,0.09241249412298203,0.09154582768678665,0.09076931327581406,0.09124308079481125,0.09113987535238266,0.09056849777698517,0.09152745455503464,0.09199003875255585,0.0900835394859314,0.08856698870658875,0.08752436935901642,0.08670026808977127,0.08694159239530563,0.08564331382513046,0.08477282524108887,0.08338749408721924,0.08150158077478409,0.0805351734161377
2020-10-29T01:47:07.871Z,Scanned Color,,,,,Scanned Color; #767776,,50.0883,-0.6601,0.1185,117.9,119.6,118.9,#757776,50.0839,-0.4622,0.0851,120.5,118.7,118.3,#787676,50.1062,-0.4546,0.1582,118.5,119.4,118.9,#767776,50.0980,-0.2819,0.1102,119.5,119.1,118.1,#777776,50.1102,-0.4084,0.1938,118.6,119.4,118.9,#767776,50.1002,-0.2385,0.1367,118.9,119.4,118.0,#767775,50.1758,-0.1846,0.3398,119.2,119.5,118.8,#777776,50.1666,-0.0812,0.3275,125.6,117.1,120.5,#7D7578,0.16309121251106262,0.1768980324268341,0.1801864057779312,0.18174666166305542,0.18462930619716644,0.1866392195224762,0.18642473220825195,0.18570515513420105,0.18364422023296356,0.18254205584526062,0.18315847218036652,0.18452003598213196,0.1848277449607849,0.18487665057182312,0.1848747879266739,0.18453633785247803,0.1869080662727356,0.18773339688777924,0.18674571812152863,0.18696682155132294,0.1864728182554245,0.18464383482933044,0.18277068436145782,0.18100576102733612,0.17853151261806488,0.17752760648727417,0.17574696242809296,0.17282196879386902,0.17077256739139557,0.16794556379318237,0.16609162092208862
2020-10-29T01:47:05.328Z,Scanned Color,,,,,Scanned Color; #9D9F9E,,65.3584,-1.0683,-0.1260,156.5,159.4,158.8,#9C9F9E,65.3593,-0.8451,-0.1516,159.8,158.3,158.0,#9F9E9E,65.4128,-0.8654,-0.0021,157.2,159.3,158.8,#9D9F9E,65.4129,-0.6793,-0.0397,158.6,159.0,157.7,#9E9E9D,65.4271,-0.8005,0.0603,157.4,159.3,158.7,#9D9F9E,65.4263,-0.6208,0.0130,157.7,159.3,157.6,#9D9F9D,65.4613,-0.4504,0.1300,158.1,159.2,158.7,#9E9F9E,65.4577,-0.3417,0.1403,166.5,156.2,160.9,#A69CA0,0.27800947427749634,0.3306606709957123,0.34068965911865234,0.3428906202316284,0.3464588224887848,0.3482726514339447,0.34843504428863525,0.34871387481689453,0.34596914052963257,0.3446638882160187,0.3447919487953186,0.3463952839374542,0.3475763499736786,0.34736374020576477,0.3465493321418762,0.3461756706237793,0.3486463725566864,0.34860166907310486,0.3468511998653412,0.34737899899482727,0.3460318446159363,0.34242135286331177,0.3391021192073822,0.336507648229599,0.33295074105262756,0.3313848674297333,0.3300137221813202,0.3260316252708435,0.3239338994026184,0.32029348611831665,0.3173103332519531
2020-10-29T01:47:03.165Z,Scanned Color,,,,,Scanned Color; #C2C5C4,,79.2988,-1.0681,-0.0268,194.2,197.2,196.3,#C2C5C4,79.3041,-0.9033,-0.0064,198.0,195.9,195.4,#C5C3C3,79.3642,-1.0637,0.1812,194.6,197.2,196.2,#C2C5C4,79.3704,-0.9361,0.1898,196.2,196.9,194.9,#C4C4C2,79.3817,-1.0845,0.2810,194.7,197.2,196.1,#C2C5C4,79.3870,-0.9622,0.2793,195.0,197.3,194.6,#C2C5C2,79.3573,-0.6786,0.2752,195.4,197.0,196.0,#C3C4C4,79.3585,-0.6034,0.3446,205.5,193.4,198.6,#CDC1C6,0.38146212697029114,0.5150540471076965,0.5466188192367554,0.549289345741272,0.5531011819839478,0.555263340473175,0.5568773150444031,0.560252845287323,0.5594320297241211,0.5588289499282837,0.5595433115959167,0.5590785145759583,0.5603616833686829,0.5591970682144165,0.5583346486091614,0.5575857758522034,0.5582690834999084,0.5563066601753235,0.5536779165267944,0.553641676902771,0.5526468753814697,0.5491055250167847,0.5469335913658142,0.5459476709365845,0.5440901517868042,0.544904887676239,0.5453578233718872,0.5421399474143982,0.540343701839447,0.5356560945510864,0.5319859385490417
2020-10-29T01:47:00.969Z,Scanned Color,,,,,Scanned Color; #ECECE5,,93.5040,-0.1301,2.9566,236.9,236.4,230.4,#ECECE6,93.4779,0.0064,3.1371,241.2,234.8,228.9,#F1EAE4,93.4440,-0.7961,3.1813,236.6,236.5,230.0,#ECECE5,93.3890,-0.6105,3.2909,238.4,235.9,228.1,#EEEBE4,93.4210,-1.2919,3.3368,236.4,236.6,229.7,#ECECE5,93.3506,-1.0794,3.4192,236.7,236.4,227.6,#ECECE3,93.4609,-0.8118,3.6177,236.5,236.6,229.1,#ECECE5,93.4174,-0.6685,3.8007,248.4,232.2,231.8,#F8E8E7,0.42687901854515076,0.6602257490158081,0.7587006688117981,0.776565670967102,0.7884788513183594,0.7964512705802917,0.8051659464836121,0.8148965835571289,0.8240342140197754,0.8303534388542175,0.8340628147125244,0.8350849151611328,0.8371017575263977,0.8379967212677002,0.8399714827537537,0.8405575752258301,0.8438058495521545,0.8422399163246155,0.8372243642807007,0.840173065662384,0.8444133400917053,0.8457517027854919,0.8451708555221558,0.8470796346664429,0.8474534153938293,0.8503662943840027,0.8537408709526062,0.8540655970573425,0.853605329990387,0.8536747694015503,0.8533349633216858
2020-10-29T01:46:57.66Z,Scanned Color,,,,,Scanned Color; #0082A2,,45.6204,-30.7505,-34.3061,0.0,124.6,165.4,#007CA5,46.6535,-32.6812,-32.0127,0.0,127.8,163.2,#007FA3,49.1370,-26.8308,-27.5749,0.0,130.5,162.8,#0082A2,50.6512,-31.0157,-24.3341,0.0,135.7,160.1,#0087A0,50.1713,-23.0250,-25.2737,0.0,132.0,161.6,#0083A1,51.8417,-28.1101,-21.7168,0.0,138.1,158.7,#008A9E,45.8759,-15.8560,-30.9528,35.6,117.7,160.3,#2375A0,47.0341,-19.3327,-28.4453,43.0,120.6,160.9,#2A78A0,0.19861707091331482,0.23541192710399628,0.25388404726982117,0.27344295382499695,0.3016508221626282,0.32952824234962463,0.35962656140327454,0.3929540812969208,0.41535937786102295,0.4185733497142792,0.4035564661026001,0.36607635021209717,0.3142286241054535,0.25864163041114807,0.2115384191274643,0.16669997572898865,0.13217318058013916,0.10835649073123932,0.09472706913948059,0.08626054972410202,0.08226665109395981,0.07377424836158752,0.07080920040607452,0.06801842153072357,0.06650016456842422,0.06846816837787628,0.06865610182285309,0.07134059071540833,0.07318313419818878,0.07282671332359314,0.07190482318401337
2020-10-29T01:46:55.519Z,Scanned Color,,,,,Scanned Color; #BC5393,,54.4146,46.4922,-6.8350,203.1,81.4,147.2,#CB5193,54.5288,40.7331,-8.0607,196.9,88.5,148.2,#C45894,51.0135,48.6471,-14.2983,188.7,83.1,147.6,#BC5393,51.3368,42.1657,-14.9465,181.0,90.9,148.3,#B45A94,50.1160,48.5852,-16.5624,183.9,83.0,148.5,#B75294,50.5749,41.9121,-16.9417,175.4,91.5,149.0,#AF5B95,48.8110,38.5797,-20.5986,167.2,86.8,152.5,#A75698,49.2729,32.7849,-20.6837,165.7,89.6,155.5,#A5599B,0.2870786786079407,0.34989526867866516,0.35434845089912415,0.34169280529022217,0.32090815901756287,0.2991696894168854,0.2680162787437439,0.24821169674396515,0.21478338539600372,0.18587610125541687,0.16826023161411285,0.14819811284542084,0.12283347547054291,0.09966221451759338,0.09626732021570206,0.09841131418943405,0.09764445573091507,0.09498093277215958,0.1201837807893753,0.1997145712375641,0.3157619535923004,0.4204837679862976,0.49476906657218933,0.5469964146614075,0.5957674980163574,0.655135452747345,0.7034702301025391,0.7321497201919556,0.7470442056655884,0.7503086924552917,0.760726809501648
2020-10-29T01:46:53.526Z,Scanned Color,,,,,Scanned Color; #E5C117,,81.6385,8.0389,76.5997,230.9,196.7,9.6,#E6C409,80.8360,10.7652,78.7109,236.5,190.8,0.0,#ECBE00,79.6806,2.7637,77.3377,229.7,193.6,23.3,#E5C117,78.1718,8.2731,77.2159,234.5,185.7,16.4,#EAB910,78.9652,-2.0880,77.5027,228.2,193.3,23.6,#E4C117,77.1464,4.6078,76.5917,232.5,184.5,19.4,#E8B813,81.4273,-2.6755,83.1277,221.6,202.6,0.0,#DDCA00,80.4062,1.2395,83.6645,234.4,193.5,0.0,#EAC100,0.049789413809776306,0.042283155024051666,0.043217048048973083,0.04876178875565529,0.057071927934885025,0.06530634313821793,0.07056242972612381,0.07432821393013,0.08789217472076416,0.11821512877941132,0.19674916565418243,0.3089836537837982,0.4346611499786377,0.5341523289680481,0.5828779339790344,0.6064496040344238,0.6226248741149902,0.6344893574714661,0.6462026834487915,0.6590192914009094,0.6684491634368896,0.6765540242195129,0.6787561178207397,0.6876259446144104,0.6905407309532166,0.6927903890609741,0.6957777738571167,0.6942408680915833,0.6949183344841003,0.6954778432846069,0.7028488516807556
2020-10-29T01:46:51.327Z,Scanned Color,,,,,Scanned Color; #AE3538,,46.4131,51.1333,35.0350,190.2,48.7,59.8,#BE303B,46.1622,46.1411,35.1774,184.6,56.4,57.5,#B83839,41.7118,50.0069,27.4474,174.6,53.2,56.9,#AE3538,41.2130,45.6084,27.1455,168.2,57.9,55.4,#A83937,40.2871,46.6705,25.3694,168.8,54.8,56.3,#A83638,39.6996,42.6183,24.9485,162.0,58.9,54.8,#A13A36,39.4108,36.2599,24.9042,150.0,63.8,55.0,#953F36,39.2527,32.0755,25.1055,148.8,64.1,55.2,#944037,0.0325615219771862,0.0214383602142334,0.023675981909036636,0.03335931897163391,0.04076435789465904,0.04759436100721359,0.05261944979429245,0.05377676710486412,0.05502709746360779,0.05325983464717865,0.0536649227142334,0.053955353796482086,0.053260739892721176,0.049503594636917114,0.04737400263547897,0.045441292226314545,0.05096982419490814,0.05530485138297081,0.06850772351026535,0.1213705986738205,0.20777329802513123,0.3226761519908905,0.4408263564109802,0.5038057565689087,0.5336136817932129,0.5561577677726746,0.5760906934738159,0.5936721563339233,0.6144835352897644,0.6280942559242249,0.6501596570014954
2020-10-29T01:46:49.014Z,Scanned Color,,,,,Scanned Color; #409248,,52.5892,-33.7604,25.2214,43.5,144.6,74.0,#2B9049,52.3196,-29.1106,27.1055,66.5,141.2,69.6,#428D45,54.3781,-38.4058,31.2316,64.1,146.6,72.2,#409248,53.7988,-32.2671,32.0941,81.5,142.6,68.8,#518E44,54.7340,-40.4891,32.9946,68.8,147.3,70.9,#449346,53.9985,-33.8356,33.4688,84.8,143.0,67.7,#548E43,53.8802,-30.3384,33.5500,81.1,143.1,65.8,#518F41,53.4438,-25.7710,34.3840,99.1,138.4,65.2,#638A41,0.04866662248969078,0.04423447325825691,0.04761713370680809,0.05247348174452782,0.06332207471132278,0.07486759126186371,0.08404835313558578,0.09349995851516724,0.11293691396713257,0.1401492953300476,0.19293536245822906,0.26810041069984436,0.3250751197338104,0.34694910049438477,0.3324793875217438,0.29876384139060974,0.25865671038627625,0.2162943184375763,0.17896072566509247,0.14875438809394836,0.12335587292909622,0.10692424327135086,0.09795975685119629,0.09412811696529388,0.0908544734120369,0.0882076695561409,0.08801455050706863,0.09029964357614517,0.09803656488656998,0.10590625554323196,0.11530960351228714
