date-time,name,code,brand,collection,serial,full_attrs,notes,A-2deg-L,A-2deg-a,A-2deg-b,A-2deg-r,A-2deg-g,A-2deg-b,A-2deg-hex,A-10deg-L,A-10deg-a,A-10deg-b,A-10deg-r,A-10deg-g,A-10deg-b,A-10deg-hex,D50-2deg-L,D50-2deg-a,D50-2deg-b,D50-2deg-r,D50-2deg-g,D50-2deg-b,D50-2deg-hex,D50-10deg-L,D50-10deg-a,D50-10deg-b,D50-10deg-r,D50-10deg-g,D50-10deg-b,D50-10deg-hex,D65-2deg-L,D65-2deg-a,D65-2deg-b,D65-2deg-r,D65-2deg-g,D65-2deg-b,D65-2deg-hex,D65-10deg-L,D65-10deg-a,D65-10deg-b,D65-10deg-r,D65-10deg-g,D65-10deg-b,D65-10deg-hex,F2-2deg-L,F2-2deg-a,F2-2deg-b,F2-2deg-r,F2-2deg-g,F2-2deg-b,F2-2deg-hex,F2-10deg-L,F2-10deg-a,F2-10deg-b,F2-10deg-r,F2-10deg-g,F2-10deg-b,F2-10deg-hex,spectrum-400nm,spectrum-410nm,spectrum-420nm,spectrum-430nm,spectrum-440nm,spectrum-450nm,spectrum-460nm,spectrum-470nm,spectrum-480nm,spectrum-490nm,spectrum-500nm,spectrum-510nm,spectrum-520nm,spectrum-530nm,spectrum-540nm,spectrum-550nm,spectrum-560nm,spectrum-570nm,spectrum-580nm,spectrum-590nm,spectrum-600nm,spectrum-610nm,spectrum-620nm,spectrum-630nm,spectrum-640nm,spectrum-650nm,spectrum-660nm,spectrum-670nm,spectrum-680nm,spectrum-690nm,spectrum-700nm
2020-10-29T01:46:47.002Z,Scanned Color,,,,,Scanned Color; #2F3F8C,,27.2179,3.2528,-47.2332,47.4,61.9,139.6,#2F3D8B,28.3229,-1.6114,-46.3072,40.8,67.0,140.2,#28438C,28.9499,14.2371,-45.6531,47.4,63.2,140.0,#2F3F8C,30.8866,5.8921,-42.9002,35.0,72.0,139.7,#22488B,29.6418,20.5664,-44.7393,49.7,62.7,140.1,#313E8C,31.9035,10.8868,-41.2937,35.3,73.3,139.3,#23498B,26.9388,17.1960,-49.5068,54.1,55.4,141.4,#36378D,28.4833,10.3052,-47.2648,50.3,61.6,143.3,#323D8F,0.15186461806297302,0.18747271597385406,0.203223317861557,0.22703026235103607,0.2574321925640106,0.27508002519607544,0.2660960555076599,0.24563883244991302,0.2019636332988739,0.15990285575389862,0.12596045434474945,0.10067862272262573,0.07593964040279388,0.05333983525633812,0.0420556403696537,0.038055144250392914,0.036591269075870514,0.038655124604701996,0.040034472942352295,0.043745651841163635,0.046984102576971054,0.04344213381409645,0.04057294875383377,0.04078438878059387,0.04571704566478729,0.05780702084302902,0.07090013474225998,0.07534992694854736,0.07864867150783539,0.07624437659978867,0.07604655623435974
2020-10-29T01:46:44.594Z,Scanned Color,,,,,Scanned Color; #DF9C2A,,72.9514,21.4136,68.0019,227.7,161.3,35.6,#E3A123,72.2006,22.7056,68.5044,230.2,156.5,32.2,#E69C20,69.9299,19.1862,64.7637,223.6,156.4,42.6,#DF9C2A,68.5399,22.7611,63.5268,225.1,149.8,42.0,#E1952A,68.9377,15.3461,63.7270,221.4,155.6,43.7,#DD9B2B,67.2774,19.9200,61.8829,222.1,148.3,43.6,#DE942B,72.1001,9.3767,69.9450,212.2,169.4,25.6,#D4A919,71.1810,11.8049,69.5295,221.2,161.4,30.2,#DDA11E,0.06433834880590439,0.05189966782927513,0.05140643194317818,0.054722946137189865,0.058116503059864044,0.06545502692461014,0.07118931412696838,0.07549557089805603,0.0761229395866394,0.0799565240740776,0.09888070076704025,0.13437652587890625,0.19870907068252563,0.2843659818172455,0.3592614531517029,0.40835246443748474,0.4365758001804352,0.4617063105106354,0.5036265850067139,0.5522092580795288,0.5817983746528625,0.6001936197280884,0.6108898520469666,0.6198359727859497,0.6275744438171387,0.6353233456611633,0.6416095495223999,0.6429374814033508,0.649036169052124,0.6517091989517212,0.6584789156913757
2020-10-29T01:46:42.579Z,Scanned Color,,,,,Scanned Color; #9BB93E,,70.9532,-18.0983,51.9602,146.8,185.9,61.1,#92B93D,70.3183,-13.2967,53.8081,158.7,180.3,55.1,#9EB437,71.1630,-23.2342,55.9200,155.5,185.0,62.5,#9BB93E,69.9831,-16.1145,56.0870,166.3,178.1,58.8,#A6B23A,71.0535,-26.7555,57.0517,157.3,185.1,61.6,#9DB93D,69.6250,-18.7296,56.6041,167.4,177.5,58.5,#A7B13A,72.3178,-21.0894,61.1580,158.6,188.1,49.0,#9EBC30,71.4742,-15.7918,61.6843,175.2,180.4,49.3,#AFB431,0.06214487925171852,0.055559657514095306,0.056910742074251175,0.059902373701334,0.0706445500254631,0.08172990381717682,0.09348662942647934,0.10374677181243896,0.1287483125925064,0.1599559485912323,0.22286726534366608,0.3118833303451538,0.42557597160339355,0.521230161190033,0.5565081834793091,0.5489716529846191,0.5219231247901917,0.4823819398880005,0.4398951232433319,0.39643433690071106,0.3579079508781433,0.3288542628288269,0.3103608191013336,0.3023985028266907,0.29426801204681396,0.29092076420783997,0.2929805517196655,0.3011106550693512,0.31825533509254456,0.33326485753059387,0.3520616888999939
2020-10-29T01:46:40.296Z,Scanned Color,,,,,Scanned Color; #5B3864,,30.4882,20.3069,-16.7721,98.9,55.4,100.0,#623764,30.7062,16.5826,-17.5140,95.2,58.8,100.9,#5F3A64,29.5760,21.8740,-19.5553,91.4,57.0,100.5,#5B3864,30.1041,17.4638,-19.6018,86.8,61.3,101.1,#563D65,29.4076,23.1710,-20.4103,89.5,56.8,101.2,#593865,30.0885,18.5415,-20.1759,84.3,61.8,101.6,#543D65,27.9039,16.7716,-24.3789,79.2,56.3,104.0,#4F3868,28.4258,13.2799,-24.1983,79.0,58.0,106.3,#4E3A6A,0.15210893750190735,0.1609635353088379,0.15800313651561737,0.14860156178474426,0.13815094530582428,0.12568815052509308,0.11506332457065582,0.10672245919704437,0.09590990841388702,0.08140196651220322,0.07118727266788483,0.0635637491941452,0.0518704354763031,0.046746231615543365,0.0474126972258091,0.046613339334726334,0.0445285364985466,0.03835741803050041,0.04129280149936676,0.04783646762371063,0.05851311236619949,0.07906895875930786,0.09867978096008301,0.117292121052742,0.13867855072021484,0.1717563420534134,0.21194104850292206,0.25214746594429016,0.28348666429519653,0.3020460307598114,0.3256976008415222
2020-10-29T01:46:38.276Z,Scanned Color,,,,,Scanned Color; #C3515C,,54.7860,46.9125,25.6050,208.9,81.9,93.4,#D0515D,54.5904,42.7460,25.1503,204.4,85.9,92.5,#CC555C,50.5352,47.0754,18.0800,195.5,81.7,92.5,#C3515C,50.1399,43.2638,17.2995,189.8,84.7,91.9,#BD545B,49.2852,44.5531,15.9055,190.5,82.0,92.5,#BE515C,48.8291,40.9924,15.0331,184.1,84.9,91.9,#B8545B,49.5617,35.8110,16.4624,176.8,90.1,92.4,#B05A5C,49.4418,32.0361,16.2101,176.8,89.4,93.8,#B0595D,0.11160512268543243,0.10439092665910721,0.10667747259140015,0.11022603511810303,0.11353953927755356,0.11837270855903625,0.11832450330257416,0.11584961414337158,0.10835394263267517,0.10568886995315552,0.10200130939483643,0.09644247591495514,0.09043582528829575,0.08938124030828476,0.0906054824590683,0.08591558039188385,0.08852484822273254,0.09885720163583755,0.14614884555339813,0.25386276841163635,0.3804759085178375,0.4759296178817749,0.5381513833999634,0.5643423199653625,0.572262167930603,0.573708713054657,0.570895791053772,0.5650439262390137,0.5648393034934998,0.5649168491363525,0.5769319534301758
2020-10-29T01:46:35.643Z,Scanned Color,,,,,Scanned Color; #4257A5,,36.7449,0.2360,-47.2345,64.5,86.0,165.1,#4055A5,37.7329,-3.7732,-46.8232,59.7,90.3,166.1,#3B5AA6,38.5122,11.2027,-45.8055,66.1,87.2,165.8,#4257A5,40.2738,4.1624,-43.7032,56.6,95.0,165.9,#385FA5,39.1894,17.9494,-45.1657,69.0,86.5,166.3,#4556A6,41.2658,9.7168,-42.4216,57.8,96.1,166.0,#3960A6,36.6471,14.7338,-50.6676,73.2,79.4,169.4,#494FA9,38.0440,8.8953,-48.9451,71.8,84.3,172.1,#4754AC,0.2697966694831848,0.33838972449302673,0.3647676706314087,0.3825936019420624,0.3897457420825958,0.3847545385360718,0.36191636323928833,0.3332209587097168,0.284496009349823,0.2412145733833313,0.20271019637584686,0.16584615409374237,0.13090237975120544,0.10110379755496979,0.09113678336143494,0.08353455364704132,0.07793726772069931,0.07610524445772171,0.07410328835248947,0.08034350723028183,0.08273008465766907,0.07646358758211136,0.07067528367042542,0.06713682413101196,0.07316276431083679,0.09317582100629807,0.11812616139650345,0.14093877375125885,0.16098017990589142,0.16941644251346588,0.17944958806037903
2020-10-29T01:46:33.72Z,Scanned Color,,,,,Scanned Color; #D97932,,65.2077,34.9244,59.3402,225.3,126.5,48.5,#E17E30,64.6308,34.1990,59.6504,224.8,124.1,45.9,#E07C2D,61.1577,34.8066,53.7519,217.5,121.0,50.4,#D97932,60.0607,35.5992,52.7724,215.7,117.1,49.3,#D77531,59.9152,31.4784,52.1540,214.1,120.2,50.6,#D67832,58.6027,32.9999,50.7302,211.5,115.8,49.7,#D37331,63.0270,23.4021,58.3598,205.2,135.1,41.1,#CD8729,62.3295,23.5421,58.0461,210.2,129.1,43.0,#D2812A,0.047652263194322586,0.04017667844891548,0.04184296727180481,0.0477469302713871,0.05118607357144356,0.057343486696481705,0.06189170479774475,0.06691098213195801,0.07157973200082779,0.08014722913503647,0.09078557044267654,0.09686373174190521,0.11214537173509598,0.1380915343761444,0.16364674270153046,0.19033735990524292,0.24638155102729797,0.3159450888633728,0.3920649588108063,0.4872297942638397,0.5410212874412537,0.5590031147003174,0.5699632167816162,0.5775625109672546,0.5833020806312561,0.5903515815734863,0.5938730239868164,0.5933718085289001,0.5936776995658875,0.5910298228263855,0.5906725525856018
2020-10-29T01:46:31.763Z,Scanned Color,,,,,Scanned Color; #5CB8A7,,66.5505,-31.3664,-5.9868,76.6,181.1,170.0,#4CB5AA,66.7977,-29.1802,-4.4918,91.7,180.0,167.1,#5BB3A7,68.9013,-31.7031,-0.4918,92.6,184.2,167.7,#5CB8A7,69.2138,-29.9581,0.9986,102.7,184.0,164.8,#66B8A4,69.5174,-31.0134,1.2592,97.2,185.1,166.5,#61B9A6,69.8280,-29.4939,2.7164,105.4,185.3,163.5,#69B9A3,67.9038,-22.6163,0.1574,116.6,177.8,164.0,#74B1A3,68.0765,-21.2207,1.2480,131.6,175.3,164.8,#83AFA4,0.24916678667068481,0.2987370789051056,0.31310373544692993,0.32367774844169617,0.33843231201171875,0.3613460063934326,0.39308401942253113,0.4358108341693878,0.48638269305229187,0.5173732042312622,0.5368799567222595,0.5396999716758728,0.5322168469429016,0.5152435302734375,0.48788556456565857,0.45280635356903076,0.41308242082595825,0.36962375044822693,0.3308262228965759,0.2909639775753021,0.25353729724884033,0.21780583262443542,0.19603662192821503,0.1829298585653305,0.17111706733703613,0.16345758736133575,0.1595912128686905,0.16199395060539246,0.16893841326236725,0.17730343341827393,0.1849793791770935
2020-10-29T01:46:29.518Z,Scanned Color,,,,,Scanned Color; #857DAB,,54.3909,8.8399,-22.7319,139.5,123.4,171.1,#8B7BAB,54.8059,5.5814,-22.8902,136.9,126.0,171.4,#887EAB,54.6866,10.3665,-23.1325,133.3,125.8,171.0,#857DAB,55.4516,6.1334,-22.5313,128.9,130.1,170.8,#8082AA,54.8554,12.2585,-23.2233,132.1,126.0,171.4,#847EAB,55.7745,7.6762,-22.3365,126.6,131.1,171.0,#7E83AA,52.7836,9.3953,-27.7502,126.5,121.1,174.2,#7E79AE,53.4351,5.9785,-27.1499,129.1,122.3,176.9,#817AB0,0.33324676752090454,0.4307916462421417,0.434956431388855,0.42663097381591797,0.4133109450340271,0.3946709930896759,0.37993818521499634,0.36961066722869873,0.34974411129951477,0.3297874927520752,0.3059236407279968,0.2765316963195801,0.25281453132629395,0.23519057035446167,0.22200947999954224,0.20655813813209534,0.1872074156999588,0.1639004349708557,0.15557369589805603,0.17543792724609375,0.2036006897687912,0.23864063620567322,0.26757070422172546,0.2946525812149048,0.32890114188194275,0.3582845628261566,0.38432300090789795,0.3920542597770691,0.37796178460121155,0.3720690608024597,0.3820127248764038
2020-10-29T01:46:25.864Z,Scanned Color,,,,,Scanned Color; #596940,,42.0657,-9.3713,18.9429,85.9,105.1,65.0,#556940,41.8141,-7.2803,19.5577,91.3,102.7,63.2,#5B663F,42.2869,-11.8422,20.6110,89.4,105.0,64.7,#596940,41.8108,-8.8205,20.5935,94.0,102.3,63.3,#5D663F,42.2772,-13.4264,21.1152,90.1,105.1,64.3,#5A6940,41.6964,-10.0471,20.8583,94.2,102.3,62.9,#5E663E,42.7097,-10.5975,22.8474,91.2,105.9,61.4,#5B693D,42.3562,-8.2673,22.9342,99.8,102.2,62.0,#63663D,0.046805866062641144,0.0456099808216095,0.046665385365486145,0.04873310774564743,0.052830614149570465,0.05823316052556038,0.06260783225297928,0.06649388372898102,0.07344861328601837,0.08179105073213577,0.09603720158338547,0.11364169418811798,0.13060098886489868,0.1458141803741455,0.15251003205776215,0.15124773979187012,0.14851757884025574,0.13988342881202698,0.1273621916770935,0.11731163412332535,0.10843586921691895,0.10305564105510712,0.10005232691764832,0.09938468784093857,0.09832186251878738,0.09888358414173126,0.09857885539531708,0.09730370342731476,0.0989653468132019,0.10002322494983673,0.10160757601261139
2020-10-29T01:46:19.482Z,Scanned Color,,,,,Scanned Color; #5A7599,,47.1936,-6.9298,-24.1785,88.6,116.3,153.2,#587499,47.6633,-8.2122,-23.8737,89.6,117.6,153.1,#597599,48.4779,-3.0390,-22.5277,90.5,117.8,153.0,#5A7599,49.2902,-5.6944,-21.4806,88.9,121.0,152.3,#587898,48.9061,-0.0769,-21.9348,92.0,117.9,153.0,#5C7598,49.8555,-3.2814,-20.6165,89.1,121.9,152.1,#597998,47.3741,0.4235,-24.7694,97.2,112.9,154.2,#61709A,47.9755,-1.6799,-23.9834,101.8,113.5,156.3,#65719C,0.2460239827632904,0.2927188277244568,0.3021589517593384,0.30541449785232544,0.3101891875267029,0.31108689308166504,0.3082265853881836,0.30352750420570374,0.2903764545917511,0.27379369735717773,0.25534817576408386,0.23539400100708008,0.20969343185424805,0.18843021988868713,0.17732326686382294,0.16752445697784424,0.15550604462623596,0.14743947982788086,0.14432144165039062,0.1429978758096695,0.14067447185516357,0.13425935804843903,0.1295567899942398,0.1285114735364914,0.13158637285232544,0.13830594718456268,0.14683574438095093,0.1498902142047882,0.14949867129325867,0.1479356437921524,0.1463252305984497
2020-10-29T01:46:15.563Z,Scanned Color,,,,,Scanned Color; #BF8C79,,64.9822,21.8087,20.0592,200.4,139.6,123.6,#C88B7B,64.8730,19.6582,20.7507,199.1,140.0,121.2,#C78C79,63.1110,18.2195,18.0288,191.4,140.3,121.7,#BF8C79,62.8582,16.4699,18.2942,188.9,140.6,119.5,#BC8C77,62.5812,15.1356,17.6185,188.0,140.9,120.9,#BB8C78,62.2660,13.6542,17.7209,184.6,141.2,118.9,#B88D76,62.6428,13.4705,18.9217,181.7,142.2,118.6,#B58E76,62.5142,11.9105,19.2890,186.1,139.6,119.4,#BA8B77,0.16755780577659607,0.1790616363286972,0.178571417927742,0.17573785781860352,0.1774098128080368,0.18709449470043182,0.2027423083782196,0.22013773024082184,0.24752861261367798,0.2735744118690491,0.29506316781044006,0.29548731446266174,0.28188300132751465,0.26049405336380005,0.24766340851783752,0.23822253942489624,0.2408396601676941,0.26400116086006165,0.29933908581733704,0.37203487753868103,0.4477523863315582,0.4916420876979828,0.5142965912818909,0.5251657366752625,0.5266077518463135,0.5328730344772339,0.5387740731239319,0.5473920106887817,0.5627608299255371,0.5769894123077393,0.5992809534072876
2020-10-29T01:46:05.855Z,Scanned Color,,,,,Scanned Color; #715347,,39.7197,12.7626,14.2681,117.0,84.2,71.1,#755447,39.5541,12.1973,14.2191,117.3,83.4,70.4,#755346,38.4110,11.8179,12.3300,113.6,83.1,71.0,#715347,38.1078,11.6617,11.9590,113.0,82.3,70.4,#715246,38.0290,10.3572,11.7944,112.2,83.0,71.0,#705346,37.6715,10.4159,11.3043,111.1,82.3,70.3,#6F5246,38.8276,8.2022,13.3658,109.0,86.3,70.1,#6C5646,38.6329,7.9781,13.1790,112.7,83.8,71.2,#705347,0.06318730115890503,0.06401661038398743,0.06414388120174408,0.0645512118935585,0.06474654376506805,0.0658067911863327,0.0671764388680458,0.06846754252910614,0.07102815061807632,0.07364365458488464,0.07681901752948761,0.07839752733707428,0.07874638587236404,0.07961668074131012,0.0810660645365715,0.08338726311922073,0.09166368097066879,0.10406772792339325,0.11691796779632568,0.13023553788661957,0.14076828956604004,0.14689943194389343,0.15042611956596375,0.15299640595912933,0.154111847281456,0.15630777180194855,0.1563403457403183,0.1564261019229889,0.1562042236328125,0.1546044647693634,0.1539340317249298
